id,title,price,currency,square footage,rooms,floor,district

67795620,Stylowe 2 pokoje | Grzegórzki | miejsce postojowe i komórka w cenie!,1227000.0,PLN,50.18,TWO,FIRST,Prądnik Czerwony
67860096,Przestronna kawalerka w świetnej lokalizacji!,560000.0,PLN,36.0,ONE,SECOND,Prądnik Czerwony
66324565,Look UP House,,,,,,Prądnik Biały
67860081,3 pokoje | 47 m | Do generalnego remontu,589000.0,PLN,47.0,THREE,FIRST,Bieżanów-Prokocim
66324017,3-pokojowe mieszkanie 73m2 + balkon Bez Prowizji,977089.0,PLN,73.89,THREE,SECOND,Podgórze
67860052,Sosnowicka | Eko Park | 48 m2 | 2 pok | klima,888000.0,PLN,48.35,TWO,SECOND,Prądnik Biały
67860038,"Mieszkanie, 43,98 m², Kraków",625000.0,PLN,43.98,TWO,FIFTH,Nowa Huta
67662285,Idealne pod inwestycje - 2 osobne pokoje w Centrum,719000.0,PLN,34.9,TWO,FIRST,Podgórze Duchackie
66344088,2-pokojowe mieszkanie 41m2 + balkon,,,41.73,TWO,THIRD,Bieżanów-Prokocim
66296826,2-pokojowe mieszkanie 42m2 + balkon,,,42.48,TWO,FOURTH,Podgórze
67677445,"Kraków, Krowodrza - 4-pokojowe mieszkanie w nowej inwestycji!!",1999000.0,PLN,88.0,FOUR,FIRST,Krowodrza
67677492,"Kraków, ul. Czarnowiejska - 2 niezależne kawalerki - inwestycja!",499000.0,PLN,34.2,TWO,FIRST,Krowodrza
67815561,"Komuny Paryskiej,Kliny 3 pok-Lux",1210000.0,PLN,55.0,THREE,SECOND,Dębniki
67831104,3 pok.| Oddz. kuchnia| Garderoba| 2x garaż| Widok na park| 5 p.| Nowe,1173192.09,PLN,62.13,THREE,FIFTH,Podgórze
67629046,"Kraków, ul. Rolnicza - 3-pokojowe mieszkanie po remoncie blisko AGH!",1099000.0,PLN,58.0,THREE,EIGHTH,Krowodrza
67636947,"Kraków, Krowodrza - mieszkanie w kamienicy do własnej aranżacji!",1199000.0,PLN,86.0,THREE,FIRST,Krowodrza
67650668,"Kraków, ul. Chopina-Mieszkanie po remoncie blisko Parku Krakowskiego!",1270000.0,PLN,69.0,THREE,THIRD,Krowodrza
67677463,"Kraków, Krowodrza - Dwupokojowe mieszkanie w nowej inwestycji!",749000.0,PLN,32.0,TWO,FIRST,Krowodrza
67728706,"Kraków, al. Kijowska - 1-pokojowe mieszkanie po remoncie blisko AGH!",638000.0,PLN,39.0,ONE,FOURTH,Krowodrza
67823808,Przytulne mieszkanie w otoczeniu przyrody,874158.0,PLN,49.11,TWO,FOURTH,Podgórze
67828592,Gotowy apartament inwestycyjny  Krowodrza,570000.0,PLN,22.0,ONE,FIFTH,Krowodrza
67853431,"Kraków, ul. Królewska - 4-pokojowe mieszkanie z balkonem w kamienicy!",1600000.0,PLN,91.0,FOUR,THIRD,Krowodrza
67816655,"Kraków, ul. Obopólna - 3-pokojowe mieszkanie z dwoma balkonami!",890000.0,PLN,55.0,THREE,THIRD,Krowodrza
67816961,Piękne i funkcjonalne wnętrze na Podgórzu,1375000.0,PLN,75.0,THREE,FIRST,Podgórze
66806755,Lipińskiego Nova,,,,,,Dębniki
67859987,2 pokojowe mieszkanie z loggią w zielonej okolicy,569000.0,PLN,48.0,TWO,FIRST,Wzgórza Krzesławickie
